Name,Address,Suburb,Postcode,State,Latitude,Longitude,Limitation,Images,Class,Start_time,End_time
Anytime Fitness Queen St,272-282 Queen Street,Melbourne,3000,VIC,-37.81109952,144.9587735,30,"['gym01','gym02','gym03','gym04','gym05']",Anytime Fitness,"{""monday"":""0:00"",""tuesday"":""0:00"",""wednesday"":""0:00"",""thursday"":""0:00"",""friday"":""0:00"",""saturday"":""0:00"",""sunday"":""0:00""}","{""monday"":""0:00"",""tuesday"":""0:00"",""wednesday"":""0:00"",""thursday"":""0:00"",""friday"":""0:00"",""saturday"":""0:00"",""sunday"":""0:00""}"
Anytime Fitness Collins St,367 Collins Street,Melbourne,3000,VIC,-37.815507,144.9622067,45,"['gym11','gym12','gym13','gym14']",Anytime Fitness,"{""monday"":""0:00"",""tuesday"":""0:00"",""wednesday"":""0:00"",""thursday"":""0:00"",""friday"":""0:00"",""saturday"":""0:00"",""sunday"":""0:00""}","{""monday"":""0:00"",""tuesday"":""0:00"",""wednesday"":""0:00"",""thursday"":""0:00"",""friday"":""0:00"",""saturday"":""0:00"",""sunday"":""0:00""}"
Fitness First Melbourne Central,211 La Trobe Street,Melbourne,3000,VIC,-37.80926865,144.96358,40,"['gym21','gym22','gym23','gym24']",Fitness First,"{""monday"":""9:00"",""tuesday"":""9:00"",""wednesday"":""9:00"",""thursday"":""9:00"",""friday"":""9:00"",""saturday"":""9:00"",""sunday"":""11:00""}","{""monday"":""21:00"",""tuesday"":""21:00"",""wednesday"":""21:00"",""thursday"":""21:00"",""friday"":""21:00"",""saturday"":""18:00"",""sunday"":""18:00""}"
South Pacific Health Club,550 Bourke Street,Melbourne,3000,VIC,-37.81401527,144.9572285,35,"['gym31','gym32','gym33']",South Pacific Health Club,"{""monday"":""0:00"",""tuesday"":""0:00"",""wednesday"":""0:00"",""thursday"":""0:00"",""friday"":""0:00"",""saturday"":""0:00"",""sunday"":""0:00""}","{""monday"":""0:00"",""tuesday"":""0:00"",""wednesday"":""0:00"",""thursday"":""0:00"",""friday"":""0:00"",""saturday"":""0:00"",""sunday"":""0:00""}"
Orangetheory Fitness,422 Collins Street,Melbourne,3004,VIC,-37.8162077,144.9602179,40,"['gym41','gym42','gym43']",Orangetheory Fitness,"{""monday"":""5:00"",""tuesday"":""5:00"",""wednesday"":""5:00"",""thursday"":""5:00"",""friday"":""5:00"",""saturday"":""8:00"",""sunday"":""8:00""}","{""monday"":""21:00"",""tuesday"":""21:00"",""wednesday"":""21:00"",""thursday"":""21:00"",""friday"":""19:00"",""saturday"":""13:00"",""sunday"":""13:00""}"
Prestige Gym,181 King Street,Melbourne,3000,VIC,-37.81515111,144.9550778,25,"['gym51','gym52','gym53','gym54']",Other,"{""monday"":""7:00"",""tuesday"":""7:00"",""wednesday"":""7:00"",""thursday"":""7:00"",""friday"":""7:00"",""saturday"":""7:00"",""sunday"":""7:00""}","{""monday"":""20:00"",""tuesday"":""20:00"",""wednesday"":""20:00"",""thursday"":""20:00"",""friday"":""20:00"",""saturday"":""20:00"",""sunday"":""20:00""}"
Virgin Active Bourke Street,138 BOURKE STREET,Melbourne,3000,VIC,-37.81116904,144.9691091,30,"['gym61','gym62','gym63']",Virgin Active,"{""monday"":""6:00"",""tuesday"":""6:00"",""wednesday"":""6:00"",""thursday"":""6:00"",""friday"":""6:00"",""saturday"":""9:00"",""sunday"":""9:00""}","{""monday"":""21:00"",""tuesday"":""21:00"",""wednesday"":""21:00"",""thursday"":""21:00"",""friday"":""20:00"",""saturday"":""17:00"",""sunday"":""17:00""}"
Corporate Fitness Club,321 Flinders Ln,Melbourne,3000,VIC,-37.81632237,144.9639593,40,"['gym71','gym72','gym73']",Other,"{""monday"":""7:00"",""tuesday"":""7:00"",""wednesday"":""7:00"",""thursday"":""7:00"",""friday"":""7:00"",""saturday"":""7:00"",""sunday"":""7:00""}","{""monday"":""19:00"",""tuesday"":""19:00"",""wednesday"":""19:00"",""thursday"":""19:00"",""friday"":""19:00"",""saturday"":""19:00"",""sunday"":""19:00""}"
CrossFit CBD,333 Flinders Lane,Melbourne,3000,VIC,-37.81764657,144.9633041,35,"['gym81','gym82','gym83']",CrossFit,"{""monday"":""0:00"",""tuesday"":""0:00"",""wednesday"":""0:00"",""thursday"":""0:00"",""friday"":""0:00"",""saturday"":""0:00"",""sunday"":""0:00""}","{""monday"":""0:00"",""tuesday"":""0:00"",""wednesday"":""0:00"",""thursday"":""0:00"",""friday"":""0:00"",""saturday"":""0:00"",""sunday"":""0:00""}"
Plus Fitness Flinders Street,452 Flinders Street,Melbourne,3000,VIC,-37.81795502,144.9586325,30,"['gym91','gym92','gym93']",Plus Fitness 24/7,"{""monday"":""0:00"",""tuesday"":""0:00"",""wednesday"":""0:00"",""thursday"":""0:00"",""friday"":""0:00"",""saturday"":""0:00"",""sunday"":""0:00""}","{""monday"":""0:00"",""tuesday"":""0:00"",""wednesday"":""0:00"",""thursday"":""0:00"",""friday"":""0:00"",""saturday"":""0:00"",""sunday"":""0:00""}"
F45 Training Exhibition,45 Exhibition St,Melbourne,3000,VIC,-37.81317597,144.971914,45,"['gym101','gym102','gym103']",F45 Training,"{""monday"":""6:00"",""tuesday"":""6:00"",""wednesday"":""6:00"",""thursday"":""6:00"",""friday"":""6:00"",""saturday"":""7:30"",""sunday"":""7:30""}","{""monday"":""19:30"",""tuesday"":""19:30"",""wednesday"":""19:30"",""thursday"":""19:30"",""friday"":""19:30"",""saturday"":""11:00"",""sunday"":""11:00""}"
Doherty's Gym City,367 Flinders St,Melbourne,3000,VIC,-37.81856767,144.9624698,40,"['gym111','gym112','gym113']",Doherty's Gym,"{""monday"":""0:00"",""tuesday"":""0:00"",""wednesday"":""0:00"",""thursday"":""0:00"",""friday"":""0:00"",""saturday"":""0:00"",""sunday"":""0:00""}","{""monday"":""0:00"",""tuesday"":""0:00"",""wednesday"":""0:00"",""thursday"":""0:00"",""friday"":""0:00"",""saturday"":""0:00"",""sunday"":""0:00""}"
Fitness First Bourke St,Level 2/341-345 Bourke St,Melbourne,3000,VIC,-37.81380192,144.9634458,30,"['gym121','gym122','gym123']",Fitness First,"{""monday"":""0:00"",""tuesday"":""0:00"",""wednesday"":""0:00"",""thursday"":""0:00"",""friday"":""0:00"",""saturday"":""0:00"",""sunday"":""0:00""}","{""monday"":""0:00"",""tuesday"":""0:00"",""wednesday"":""0:00"",""thursday"":""0:00"",""friday"":""0:00"",""saturday"":""0:00"",""sunday"":""0:00""}"
Fitness First Flinders St,276 Flinders Street,Melbourne,3000,VIC,-37.81756881,144.965176,45,"['gym131','gym132','gym133']",Fitness First,"{""monday"":""05:45"",""tuesday"":""05:45"",""wednesday"":""05:45"",""thursday"":""05:45"",""friday"":""05:45"",""saturday"":""06:45"",""sunday"":""9:00""}","{""monday"":""21:00"",""tuesday"":""21:00"",""wednesday"":""21:00"",""thursday"":""21:00"",""friday"":""21:00"",""saturday"":""19:00"",""sunday"":""18:00""}"
Fitness First QV Platinum,"Cnr Lonsdale &, Russell St",Melbourne,3000,VIC,-37.81044611,144.9668292,35,"['gym141','gym142','gym143']",Fitness First,"{""monday"":""0:00"",""tuesday"":""0:00"",""wednesday"":""0:00"",""thursday"":""0:00"",""friday"":""0:00"",""saturday"":""0:00"",""sunday"":""0:00""}","{""monday"":""0:00"",""tuesday"":""0:00"",""wednesday"":""0:00"",""thursday"":""0:00"",""friday"":""0:00"",""saturday"":""0:00"",""sunday"":""0:00""}"
Anytime Fitness Swanston St,Unit 2/551 Swanston St,Carlton,3053,VIC,-37.80400252,144.9628075,40,"['gym151','gym152','gym153']",Anytime Fitness,"{""monday"":""0:00"",""tuesday"":""0:00"",""wednesday"":""0:00"",""thursday"":""0:00"",""friday"":""0:00"",""saturday"":""0:00"",""sunday"":""0:00""}","{""monday"":""0:00"",""tuesday"":""0:00"",""wednesday"":""0:00"",""thursday"":""0:00"",""friday"":""0:00"",""saturday"":""0:00"",""sunday"":""0:00""}"
Zap Fitness Carlton,28 Victoria St,Carlton,3053,VIC,-37.80563008,144.9676998,25,"['gym161','gym162','gym163']",Zap Fitness 24/7,"{""monday"":""0:00"",""tuesday"":""0:00"",""wednesday"":""0:00"",""thursday"":""0:00"",""friday"":""0:00"",""saturday"":""0:00"",""sunday"":""0:00""}","{""monday"":""0:00"",""tuesday"":""0:00"",""wednesday"":""0:00"",""thursday"":""0:00"",""friday"":""0:00"",""saturday"":""0:00"",""sunday"":""0:00""}"
F45 Training Flinders Lane,B1/250 Flinders Ln,Melbourne,3000,VIC,-37.8153269,144.9656399,30,"['gym171','gym172','gym173']",F45 Training,"{""monday"":""6:00"",""tuesday"":""6:00"",""wednesday"":""6:00"",""thursday"":""6:00"",""friday"":""6:00"",""saturday"":""8:00"",""sunday"":""8:00""}","{""monday"":""19:00"",""tuesday"":""19:00"",""wednesday"":""19:00"",""thursday"":""19:00"",""friday"":""19:00"",""saturday"":""10:00"",""sunday"":""10:00""}"